text,gold_label,source
The voice are always fimilar (someone she knows) Im very concerned about this and hope it has nothing to do with my pregnancy while on active duty.,Personalization,annotated
I feel trapped inside my disgusting self and like I’m willing to do anything to escape it.I’m just afraid sometimes that since I’m not really thinking during these times that I might do something to myself–especially since I think during these times that I don’t deserve to get help or that I’m not worth disturbing people by calling them.,Labeling,annotated
"I refused to go because I didn’t know if it was going to go on my record which could possibly affect my dreams of becoming a psychiatrist.I have a major fear of choking and drowningIt seems like everytime I get so close of beating in, I get nocked right back down to the bottom.",Fortune-telling,annotated
"I felt like the response was totally irrational, mean and disrespectful. I felt extremely hurt.",Magnification,annotated
"I thought that he displayed traits of honor, loyalty, integrity, honesty, and kind-heartedness, as well as characteristics of a hard worker, and an overall well-rounded individual.",Labeling,annotated
I attributed his behavior to stress – he owned a business that has since failed,Mind Reading,annotated
"I had to call off work Friday because I can’t leave him alone at my apartment in fear he will do something and get me evicted, or worse. I’m at the end of my ropes and don’t know what to do.",Fortune-telling,annotated
"I decided I wasn‚t going to join him again due to the uneasy feeling it gave me which kept me from enjoying myself. Ever since, I have known in the back of my mind that he still does this. believing that it helps keep him „faithful‰ to me since I am no longer interested.",Personalization,annotated
"I don’t know if she’s trying to protect me because she knows how bad it would hurt me if they actually did, or if she really didn’t have full on sex with him.",Mind Reading,annotated
But recently I started thinking about it more and I realized those vague memories were kind of all I had now.,All-or-Nothing Thinking,annotated
"I feel like he has split personalities. Many times he doesn’t remember tasks he completed days ago. We are at a stressful time in our relationship which includes the 6 month old baby. We used to be best friends and still today sometimes we enjoy time shared with the baby, but I see more and more he has no idea of what I’m referring to because he asks, “huh?” all the time. There has been lingering problems. I really don’t understand any of this and I’m falling deeply into depression myself that along with the baby weight I can’t shed. If I ask him for the truth he will simply look me in the face and tell another lie. {I can’t bear it, seriously.}",Mind Reading,annotated
During this time I was recruited to many great jobs but was scared to take them and instead started my own dot-com business.,Fortune-telling,annotated
"Why can she look like that but I have to work to keep myself healthy? Why are such high expectations put on me that she doesn’t live up to? She is my biggest role model, and all I can think of at this moment is starving myself until I look like her.But when she’s not…my motivation goes away and I want to restrict.",Magnification,annotated
"I am highly disorganized, I’m concerned with being diagnosed with schizophrenia or something like that",Labeling,annotated
I was a very difficult child to raise. There was constant fighting between myself and my parents.I couldn’t talk to anyone because I had no trust in adults.,Overgeneralization,annotated
"When someone tries to talk to me, I get so nervous about what they think of me that I end up seeming uninterested or maybe even snobby, probably. Im always thinking that people are talking behind my back or thinking badly of me. Whenever someone in whispering to another person, I pretty much assume that they are talking badly about me, and I panick.At school, I get so caught up worrying if I smell bad or If my makeup is smeared I immagine everyone is looking at me funny.Im always thinking that people think im a loser, and I wont leave the house without makeup, because i am horrified about what other people think about me.",Mind Reading,annotated
"everything was perfect and I trusted him whole-heartedly. Up until recently I’ve been very suspicious and my trust just keeps going down. I started to lose trust when finding a text message in his phone from someone calling him “babe” on Valentines Day. He said it was nothing like that, and I asked to see the rest of the messages from that person but he said no because he thought that would change the dynamics of our relationship and that I am supposed to just trust him, so I let it go. Ever since that occasion it’s been so hard for me to trust him like I did in the beginning. But I almost feel like I’m convincing myself because I just have this feeling inside. Should I end this relationship before I get hurt or wait it out and see if it can really become as good as I thought it could?",Mental filter,annotated
"But sometimes I can’t help what I say to my parents. If they’re in my face yelling about what I just said or how I forgot to do something, how can I not yell back? My parents say its disrespect, but I feel that they have no respect for me when they’re yelling in my face.But to avoid these confrontations I feel the only way to do this is to COMPLETELY IGNORE my whole family. I’ve been doing this by sleeping all day and my schoolwork is suffering, I also barely eat because of sleeping all day. But these arguments always seem to find their way into my life.",Emotional Reasoning,annotated
"Then, I decided to become vegetarian and anorexic. To tell you the truth, I wasn’t a complete vegan at first. I was “98% vege”, meaning that I ate hotdogs/hamburgers/chicken nuggets/bacon/top ramen soup. In seventh grade, I became full-fledged vege, and continued to have problems. In eighth grade, I turned my life around, and was the food nazi: no food additives, no meat, healthy as you can be.",All-or-Nothing Thinking,annotated
"We had the storybook romance: we were always happy, never argued, never tired of each other, and all of of friends and family looked at us as having the perfect relationship",Labeling,annotated
"The trip sucked he wasn’t interested in me based on his saying, attitude and he stated drinkingI want to believe him but I have a feeling I will have to take him to small claims court for this.",Fortune-telling,annotated
"The same goes for my life – I just can’t seem to get anything started: Job applications, writing routines, relationships with the opposite sex, you name it.",Overgeneralization,annotated
My fiance is close with his mother and I don’t know how to tell him I am uncomfortable with this situation without offending him and his mother. His mother has been known to hold grudges and I don’t want to get on her bad side before I marry her son,Mind Reading,annotated
my brother always gets everything he goes and sees my dad and gets £30 or more of him every time he gets money for stuff as well everyday and when I go and see my dad all i get is a £5. My brother also got a xbox connect of my dad. I asked my dad for a xbox 360 and he said he has no money but he always gets my brother stuff and when my brother comes home he brags about it and I’m getting fed up of it. My birthday comes and all he gets me is a little ornament I don’t want to seem ungrateful its just he treats my brother different to me he should treat us both the same but he don’t. I think its favouritism.,Overgeneralization,annotated
I always feel like people talk about me and hav had suicidal thouts before.,Mind Reading,annotated
I have grown very much but he has not. He will not deal with any issues between us. He is really immature. He never accepts responsibility for his part in any problem. (Everything is always my fault according to him.),Labeling,annotated
"He’s never cheated, lied, or anything remotely close to that. He’s always been honest with me and never fails to be affectionate and tell me how much he cares about me. But I can’t trust him. And I get extremely bad separation anxiety when I’m not with him. I always want to try and control him, who he’s with, where he goes, what he’s doing, and I never want him to do anything if I’m not involved. And it’s starting to ruin our relationship.",Emotional Reasoning,annotated
Also I feel like I am lonely at my house.So I don’t know if I am the reason that I cause it because we are different.,Personalization,annotated
and there have been times where i figured why should i even live that nothing i ever do is good enough. i mostly feel like a failure sometimes.,All-or-Nothing Thinking,annotated
I know your advice is to be the bigger person.,Mind Reading,annotated
"I have realized that the major internal problem I have is that I lack an identity, lack interests, lack emotions, and therefore have trouble with social interaction. I am hopelessly apathetic at heart, and I don’t know how to reconcile the true ‘me’ with the image others expect–that of a ‘normal’ person who has passions and desires. I care about nothing–not politics or current events, not my friends or family or other people, not sports or music or art. Outwardly, I am a high-achieving, well-rounded student.Occasionally a particularly poignant tragedy or example will make feel like helping out, but on the whole, I am completely apathetic. The same goes for the social aspects of my life. My childhood, family, and friendships were and are normal, but I do not have emotional connections to anyone; if somebody ‘close’ to me died, I would only be concerned with how it would affect my own convenience. I don’t have any academic, athletic, or arts-related interests either, and I do not believe the problem is lack of exposure.",Labeling,annotated
I want to know if our family unit is savable would therapy help what should I do. I don’t want to be a bad mother and I don’t want to lose my family.,Fortune-telling,annotated
"Any time that we try to resolve an issue, she blows up uses the F-word, tells me she doesn’t care about me, and doesn’t want to be in the same room with me. We are talking screaming here.I have not been perfect, but I always own up to my mistakes and apologize",Overgeneralization,annotated
"In the past few years, I haven’t been getting much out of life. I don’t feel anything like I used to. Anger, happiness, joy, and even sadness seem to have left me. Things that used to give me emotional pleasure now just seem to entertain and occupy my mind. I don’t have ups and downs like teenagers are supposed to everything just seems kind of flat with a few dips. Things don’t feel very “real” anymore, the real world feels dreamy and I am constantly withdrawn.",Emotional Reasoning,annotated
"Medication resistant, i have tried them all. I have tried all the medications out there for depression and bipolarI don’t know how to find the best dr for this and am afraid of cognitive loss, memory loss.",Fortune-telling,annotated
"I feel nothing on a regular basis. For example if I got a call saying that my mother died, I don’t think I would even cry.I want to ask my parents, or anyone for help, but I’m afraid of being laughed at.I observe everyone’s actions with relationships and reasoning and feel like everyone is, for lack of a better term, retarded.For example, if I call a friend and they don’t answer I immediately think they are ignoring me and go into a downward spiral of depression until I hear back from them.",Mind Reading,annotated
"Last year, because of a stupid mistake i made, i had a huge falling out with some of my best friends and the rest of them had betrayed me.",Overgeneralization,annotated
We would fight almost everyday and he would always lie to me and never gave me the love and support that I really needed. It even got to the point where I would have to ask him to show me that he loves me and appreciates me and all the stuff that a boyfriend should already do for his girlfriend.,Overgeneralization,annotated
"I seem to have different people who live inside me. Unlike what I know about DID, though, we all know about each other. We don’t always but occasionally we do talk to each other. I might comfort the child that is sad or the watchful one might tell me their impression of someone. We don’t forget what’s going on when one of the others is controlling the body.",Emotional Reasoning,annotated
"This year i’m not takking any anti-depressants because they never really helped. I have only a few exams left and then my master’s thesis, but i can’t do anything. i escape into fantasy and SF films and novels- the only thing that shuts me and the world out for some time.",Mental filter,annotated
"im sure she has a disorder of some sort….she lies constantly, tells the same story 3 times during a week, but its always changing….I am now afraid of this woman because last week, while trying to calm her, I took the blame for everything…admitted I was wrong etc, and have cut her off…..im sure she has another man in the picture, coaching her along on how to set me up",Labeling,annotated
It dosent go away.. and when I am having fun an trying not to think about it.. its always in the back of my mind that I am a schizo and that everything is crazy.,Fortune-telling,annotated
"he used to be loving, & caring, now he is unsociable, & uncaring. He has no remorse.He is depressed.",Labeling,annotated
"But since I started to study this all people keep asking me why I’m not studying medicine and they feel sorry about me, now I can change my major to dentistry and I’m thinking about attending it because anyway it’s higher than my current major, simply I can just throw off all the people’s talking about me if I do that, actually I’m more interested in practical studying offered in dentistry but I will lose a semester and I will be late, actually I don’t know what I want!",Mind Reading,annotated
When we first got together our relationship was perfect. We had been friends for awhile and decided to take it to the next level. He was attentive and loving and made me feel special.,Labeling,annotated
"Just when I thought I’ve won the seemingly endless battle against my OCD by triumphing over my eating disorder (anorexia, to be specific), common symptoms (checking the switches countless times, washing my hands forever, hoarding) and gotten a hold over my rampaging thoughts, I had a severe panic attack a few days ago.",All-or-Nothing Thinking,annotated
"I have never dated a man who didn’t lie or cheat or do something else bad to me.But I guess I’ve been hurt so badly,I’m taking everything out on him,which I know is not fair. He’s broken up with me on numerous ocassions because he can’t handle my always acussing him of things I have.",Overgeneralization,annotated
"For the past few years (5-6 years) i have been finding it increasingly hard to make friends and keep them. 2 of my grandparents have died recenently and things seem to have gotten worse. To start, i cant focus in class (before grandparents died)and this has been also getting harder to deal with.",Personalization,annotated
"For the outside world, we are perfect couple, who loves adventure, travel, cooking and is madly in love. Behind the door is a different story.",All-or-Nothing Thinking,annotated
Before we started dating and for the first year of our relationship her sex drive was amazing. Over time it slowly decreased. It is to the point now where we have sex 1-2 times a month.,Overgeneralization,annotated
"I am a college focused girl and to others, it may seem that the only troubles in my life are balancing Advances Placement classes.",Mind Reading,annotated
I am incredibly jealous in my current relationship. I have never been a jealous girlfriend before.,Labeling,annotated
"I find them extremely sexually arousing and I can’t help myself but thinking about them.I’m worried about how later in life, if this will go away or not. I know this is horrible, and I even feel guilty constantly, but I can’t seem to help it.",Emotional Reasoning,annotated
Six months into the relationship I found him parked in his workplace parking lot with a woman at 3am. That night he had gone to a friend of ours house and I stayed home because I didnt feel well and when I woke up at 2am and he still wasnt home and wouldnt answer his phone i became worried. Now 3 and 1/2 years later i do not believe that he was cheating on me with that woman but he was sincerely just dropping her off but that night was the turning point in our relationship.,Mind Reading,annotated
"I can process a million things in my head at once but can’t seem to put them on paper, (Which is why i got a zero on the last test, even though i had every question right) Is there anything that can help this?",Personalization,annotated
"Half the reason I am is because I have no really close friends to hang out with or etc. While everybody is usually going to the movies, the beach, or somewhere fun I’m at home. My mother has started to notice it, she always suggests I hangout with my friends but truth is I don’t have the heart to tell her I don’t really have any.",All-or-Nothing Thinking,annotated
Why are my parents saying they want me to die and leave me? everyday i come from school all we do at my house is argue about every little thing my mom is mean to me i feel like bursting into tears but i dont i keep it in.sometimes when im arguing with my parents its so hard for me to take the things they tell me. i get so depressed but dont show my emotions they say i have no heart and they dont want me they want me to leave forever.,Magnification,annotated
"I’m not sure what I can do, to help him and us. I feel like I’m going to literally lose my mind on a daily basis. I end up snapping at everyone or not dealing with normal issues, because I feel so overwhelmed.",Magnification,annotated
My parents refuse too believe anything is wrong with me and every day scream at me and break things as well as insult me about how useless I am and how I am always ruining their lives! My friends all say that I’m amazing and such a good friend but I have a hard time believing them when my OWN parents seem to hate me,Mental filter,annotated
"So basically, it has to be far away from real life and very hidden for me to find pleasure in it and to escape the shame. I do also have completely normal fantasies and nowadays have to force myself to think about this fantasy in order to orgasm, but it doesn’t naturally come into my mind and, until properly aroused, I still find it genuinely disgusting.",Labeling,annotated
"I am a male with a history of bad behavioral decisions that end up biting me in the rear, often months later.But the stress of that decision put a lot more strain on my already brittle marriage.My wife is very money conscious (due to some bad money situations before we met) and this additional strain on her income was heavy. In the middle of this already “Joyful” experience, she demanded that we move to reduce her commute, as “that wasn’t my problem anymore”.",Labeling,annotated
"sometimes i feel like everyone thinks i’m ugly and dumb and other things, and other times i feel like i’m totally awesome.",Mind Reading,annotated
"I have been dating this guy for 10 months and to be honest although it has been rocky(he was drunk and cheated on me once in the summer, one night he was too drunk and ended up sleepwalking in my apartment and saying things that were very hurtful), normally he is one of the nicest people I have ever known. He has also had down periods where he wasn’t sure he liked his job and was a little depressed.",Labeling,annotated
