index,text,extracted,reasoning,predicted_label
0,The voice are always fimilar (someone she knows) Im very concerned about this and hope it has nothing to do with my pregnancy while on active duty.,"""The voice are always familiar (someone she knows)"", ""I'm very concerned about this"", ""hope it has nothing to do with my pregnancy while on active duty""","The statement reflects a worry that the familiar voice might be related to the pregnancy during active duty. The speaker is interpreting their feelings of concern as evidence of a potential problem, despite lacking concrete evidence. This reflects basing conclusions primarily on emotional reactions. The key phrase 'I'm very concerned' indicates emotional reasoning where feelings of concern are treated as factual indicators of risk or harm. The phrase 'hope it has nothing to do with my pregnancy' shows uncertainty but is driven by emotion rather than logical evidence. No evidence of predicting the future beyond concern is present, so it's not fortune-telling. The concern is internalized emotionally rather than cognitive labeling or overgeneralization.",Emotional Reasoning
1,I feel trapped inside my disgusting self and like I’m willing to do anything to escape it.I’m just afraid sometimes that since I’m not really thinking during these times that I might do something to myself–especially since I think during these times that I don’t deserve to get help or that I’m not worth disturbing people by calling them.,"""I feel trapped inside my disgusting self"", ""I might do something to myself"", ""I don’t deserve to get help"", ""I’m not worth disturbing people by calling them""","The person is interpreting their feelings of self-disgust as evidence that they are inherently flawed and undeserving of help, which reflects a negative internal evaluation (labeling). They also assume their feelings justify not seeking support, implying a judgment about their worthiness. This is not a prediction about the future (fortune-telling) or an assumption about others' thoughts (mind reading), but a harsh self-assignment of a negative label based on their emotions. Emotional reasoning is present but secondary, as the core distortion is the negative labeling of the self.",Labeling
2,"I refused to go because I didn’t know if it was going to go on my record which could possibly affect my dreams of becoming a psychiatrist.I have a major fear of choking and drowningIt seems like everytime I get so close of beating in, I get nocked right back down to the bottom.","I didn’t know if it was going to go on my record which could possibly affect my dreams of becoming a psychiatrist; I have a major fear of choking and drowning; every time I get so close of beating in, I get knocked right back down to the bottom.","The statement shows concern about an uncertain negative outcome affecting future goals ('didn’t know if it was going to go on my record which could possibly affect my dreams'). This reflects predicting negative outcomes without evidence, which corresponds to Fortune-telling. The latter part of the statement about repeatedly getting knocked back down after getting close to beating in suggests feelings of repeated failure but does not clearly indicate overgeneralization or other distortions as strongly as the initial fear of negative future consequences. The focus is primarily on predicting negative results without definite knowledge.",Fortune-telling
3,"I felt like the response was totally irrational, mean and disrespectful. I felt extremely hurt.","the response was totally irrational, mean and disrespectful; I felt extremely hurt","The statement assumes that the response was irrational, mean, and disrespectful based on the speaker's feeling of being hurt. This indicates that the speaker is using their emotional reaction to determine the truth of the situation. Instead of objectively analyzing the response, they are interpreting it as negative because of how they feel, which is a hallmark of Emotional Reasoning.",Emotional Reasoning
4,"I thought that he displayed traits of honor, loyalty, integrity, honesty, and kind-heartedness, as well as characteristics of a hard worker, and an overall well-rounded individual.","traits of honor, loyalty, integrity, honesty, kind-heartedness, characteristics of a hard worker, overall well-rounded individual","The statement attributes a wide range of positive traits and characteristics to one individual, implying a very positive overall judgment. However, it does not show extremes such as perfect or complete in all aspects (which would indicate All-or-Nothing Thinking), nor does it reflect negative or exaggerated beliefs. It also does not involve predicting the future (Fortune-telling), interpreting others' thoughts (Mind Reading), or incorporating emotional or self-blaming justifications. The statement is simply an observation or evaluation of multiple positive traits, which aligns with labeling someone positively. Labeling can involve assigning a fixed, global trait to someone based on behavior or characteristics, even though here it is positive rather than negative. Thus, this is a case of positive labeling.",Labeling
5,I attributed his behavior to stress – he owned a business that has since failed,I attributed his behavior to stress; he owned a business that has since failed,"The statement involves attributing someone's behavior to a specific cause (stress) based on known external facts (business failure). This shows an interpretation of events rather than an irrational or distorted cognitive pattern. There is no evidence of exaggeration, negative labeling, taking things personally, predicting the future, or seeing things in black-and-white terms. Instead, the speaker is making a reasonable connection between circumstance and behavior. Therefore, this is not indicative of a cognitive distortion but rather a logical assessment.",No Distortion
6,"I had to call off work Friday because I can’t leave him alone at my apartment in fear he will do something and get me evicted, or worse. I’m at the end of my ropes and don’t know what to do.","I can’t leave him alone at my apartment in fear he will do something and get me evicted, or worse. I’m at the end of my ropes and don’t know what to do.","The statement expresses a fear of a negative event happening ('he will do something and get me evicted, or worse') without concrete evidence that it will occur. This reflects predicting a negative future outcome based on anxiety rather than facts. The speaker is mentally forecasting disaster, which aligns with the distortion known as Fortune-telling, where one assumes a negative outcome will inevitably happen.",Fortune-telling
7,"I decided I wasn‚t going to join him again due to the uneasy feeling it gave me which kept me from enjoying myself. Ever since, I have known in the back of my mind that he still does this. believing that it helps keep him „faithful‰ to me since I am no longer interested.",Uneasy feeling that prevented enjoyment; belief that he still does this; belief that it helps keep him faithful since no longer interested.,"The speaker bases their decision and belief on the uneasy feeling they experienced, using this emotional state as evidence of the situation (not enjoying oneself, his ongoing behavior, and its purpose). This reflects emotional reasoning, where feelings are taken as proof of reality. There is no evidence of predicting the future (fortune-telling), labeling, or overgeneralizing multiple incidents from one feeling.",Emotional Reasoning
8,"I don’t know if she’s trying to protect me because she knows how bad it would hurt me if they actually did, or if she really didn’t have full on sex with him.",‘I don’t know if she’s trying to protect me because she knows how bad it would hurt me if they actually did’ and ‘or if she really didn’t have full on sex with him.’,"The statement reflects uncertainty about the other person's intentions and actions, specifically trying to infer what she might be thinking or feeling about a situation. The speaker is attempting to guess the mental state and motivations of 'she' without clear evidence — whether she is protecting the speaker or whether a sexual encounter occurred. This process of assuming knowledge about someone else's thoughts or intentions without direct confirmation matches the distortion known as 'Mind Reading.'",Mind Reading
9,But recently I started thinking about it more and I realized those vague memories were kind of all I had now.,started thinking about it more; vague memories were kind of all I had now,"The statement reflects a focus on only the vague memories as the sole remaining evidence or connection to 'it'. This selective attention to a narrow aspect (vague memories) while ignoring other potentially positive or more concrete memories indicates filtering out broader context or details. This is consistent with the 'Mental filter' distortion, which involves focusing exclusively on certain aspects of a situation and ignoring others.",Mental filter
